Ranking,Titulo,Critica Usuarios,Aprobacion,Cantidad Reviews,Windows,Mac,Linux,Fecha Lanzamiento,Precio Steam,Critica Categorica,Fecha Ingles,Fecha,Accion,Animacion Modelado,Aventura,Carreras,Contenido Sexual,Deportes,Desarrollo Juegos,Desnudos,Diseno Ilustracion,Disparos,Documentales,Edicion Fotografica,Educacion,Estrategia,Formacion Software,Free To Play,Indie,Multijugador Masivo,Primera Persona,Produccion Audio,Publicacion Web,Rol,Sangriento,Simulacion,Tutoriales,Utilidades,Violentos
2012,Assetto corsa - Japanese Pack,Muy positivas,92,1078,1,0,0,18 MAY 2016,$1.99,2,18 MAY 2016,2016-05-18,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2013,theHunter: Call of the Wild™ - ATV SABER 4X4,Variadas,52,1456,1,0,0,15 JUN 2017,$2.49,5,15 JUN 2017,2017-06-15,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,The Dark Pictures Anthology: Man of Medan,Mayormente positivas,74,6989,1,0,0,29 AGO 2019,$15.99,3,29 AUG 2019,2019-08-29,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2015,Dokapon Kingdom: Connect,Muy positivas,88,282,1,0,0,7 SEP 2023,$22.99,2,7 SEP 2023,2023-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,State of Survival,Variadas,56,329,1,0,0,2 AGO 2023,Gratuito,5,2 AUG 2023,2023-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
2017,Out of Ore,Muy positivas,84,1094,1,0,0,31 OCT 2022,$16.99,2,31 OCT 2022,2022-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2018,Cardboard Town,Muy positivas,83,1352,1,1,1,18 AGO 2023,$6.99,2,18 AUG 2023,2023-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,Spirit Island,Muy positivas,92,897,1,1,1,29 JUL 2020,$12.49,2,29 JUL 2020,2020-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020,Card Quest,Muy positivas,87,290,1,0,1,7 NOV 2017,$9.99,2,7 NOV 2017,2017-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2021,Space Engineers - Decorative Pack #3,Muy positivas,83,59,1,0,0,31 AGO 2023,$2.99,2,31 AUG 2023,2023-08-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2022,Shell Runner,Mayormente positivas,78,42,1,0,0,15 JUL 2024,$7.99,3,15 JUL 2024,2024-07-15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,NieR Replicant™ ver.1.22474487139...,Muy positivas,88,17763,1,0,0,23 ABR 2021,$44.99,2,23 APR 2021,2021-04-23,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2024,Emergency Call 112 – The Fire Fighting Simulation 2,Variadas,61,3245,1,0,0,18 MAR 2021,$14.99,5,18 MAR 2021,2021-03-18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2025,OneShot,Extremadamente positivas,98,41567,1,1,1,DIC 2016,$5.79,1,DEC 2016,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2026,Total War: WARHAMMER II - The Hunter & The Beast,Variadas,60,1450,1,1,1,11 SEP 2019,$7.99,5,11 SEP 2019,2019-09-11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2027,Total War: WARHAMMER II - The Twisted & The Twilight,Mayormente positivas,74,975,1,1,1,3 DIC 2020,$7.99,3,3 DEC 2020,2020-12-03,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2028,Transformice,Muy positivas,88,26964,1,1,1,30 ENE 2015,Gratuito,2,30 JAN 2015,2015-01-30,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2029,Old World - Behind the Throne,Positivas,93,29,1,1,1,28 MAY 2024,$4.99,4,28 MAY 2024,2024-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2030,Galactic Glitch,Muy positivas,95,118,1,0,0,15 JUL 2024,$7.29,2,15 JUL 2024,2024-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2031,VA-11 Hall-A: Cyberpunk Bartender Action,Extremadamente positivas,97,29967,1,1,0,21 JUN 2016,$7.99,1,21 JUN 2016,2016-06-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2032,The Outer Worlds: Asesinato en Erídano,Muy positivas,86,210,1,0,0,17 MAR 2021,$14.99,2,17 MAR 2021,2021-03-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
2033,Pase del Salón de la Fama de NBA 2K24: temporada 8,Sin Dato,0,0,1,0,0,28 JUN 2024,$19.99,10,28 JUN 2024,2024-06-28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2034,Bloons TD Battles 2,Muy positivas,83,29995,1,0,1,30 NOV 2021,Gratuito,2,30 NOV 2021,2021-11-30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2035,Sonic Generations Collection,Muy positivas,93,19118,1,0,0,3 NOV 2011,$19.99,2,3 NOV 2011,2011-11-03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,Five Nights at Freddy's 3,Muy positivas,90,8629,1,0,0,2 MAR 2015,$7.99,2,2 MAR 2015,2015-03-02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2037,Sons of Valhalla,Variadas,63,513,1,0,0,5 ABR 2024,$9.99,5,5 APR 2024,2024-04-05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2038,Planet Coaster - Spooky Pack,Mayormente positivas,72,177,1,0,1,25 SEP 2017,$6.29,3,25 SEP 2017,2017-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2039,女优! 离不开那个泳池了！,Muy positivas,95,112,1,0,0,18 JUL 2024,$2.99,2,18 JUL 2024,2024-07-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2040,"Northgard - Lyngbakr, Clan of the Kraken",Variadas,64,259,1,1,1,25 JUL 2019,$2.99,5,25 JUL 2019,2019-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2041,Wolfenstein: The New Order,Muy positivas,90,38645,1,0,0,20 MAY 2014,$11.99,2,20 MAY 2014,2014-05-20,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2042,Duck Game,Extremadamente positivas,97,24323,1,0,0,4 JUN 2015,$7.29,1,4 JUN 2015,2015-06-04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2043,SUPERHOT: MIND CONTROL DELETE,Muy positivas,85,8246,1,1,1,16 JUL 2020,$9.99,2,16 JUL 2020,2020-07-16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2044,"Warhammer 40,000: Gladius - Adepta Sororitas",Muy positivas,93,75,1,1,0,13 DIC 2022,$7.99,2,13 DEC 2022,2022-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,The Outer Worlds: Peligro en Gorgona,Muy positivas,82,197,1,0,0,23 OCT 2020,$14.99,2,23 OCT 2020,2020-10-23,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
2046,英雄伝説 黎の軌跡Ⅱ -CRIMSON SiN-,Muy positivas,82,538,1,0,0,25 ENE 2023,$59.99,2,25 JAN 2023,2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2047,SPORE™ Creepy & Cute Parts Pack,Muy positivas,89,1767,1,0,0,19 DIC 2008,$19.99,2,19 DEC 2008,2008-12-19,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2048,Drug Dealer Simulator,Muy positivas,87,16876,1,0,0,16 ABR 2020,$19.99,2,16 APR 2020,2020-04-16,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2049,Galacticare,Muy positivas,89,389,1,0,0,23 MAY 2024,$14.99,2,23 MAY 2024,2024-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2050,Deluxe Edition de Mass Effect™: Andromeda,Mayormente positivas,75,12780,1,0,0,11 JUN 2020,$39.99,3,11 JUN 2020,2020-06-11,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2051,Cities: Skylines - Mass Transit,Muy positivas,84,879,1,1,1,18 MAY 2017,$7.99,2,18 MAY 2017,2017-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2052,Life is Strange: Before the Storm,Muy positivas,93,32551,1,1,1,31 AGO 2017,$13.49,2,31 AUG 2017,2017-08-31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2053,Scene Investigators,Mayormente positivas,74,549,1,0,0,24 OCT 2023,$12.49,3,24 OCT 2023,2023-10-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2054,The Walking Dead,Extremadamente positivas,97,42393,1,0,1,24 ABR 2012,$7.99,1,24 APR 2012,2012-04-24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2055,AdVenture Capitalist,Muy positivas,88,57659,1,1,1,30 MAR 2015,Gratuito,2,30 MAR 2015,2015-03-30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
2056,Age of Wonders 4: Dragon Dawn,Muy positivas,80,204,1,0,0,2 MAY 2023,$5.99,2,2 MAY 2023,2023-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,Road 96 🛣️,Muy positivas,91,15316,1,0,0,16 AGO 2021,$14.96,2,16 AUG 2021,2021-08-16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2058,Call of Duty®: Ghosts,Variadas,62,11226,1,0,0,25 MAR 2014,$59.99,5,25 MAR 2014,2014-03-25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2059,Them's Fightin' Herds,Muy positivas,84,3161,1,1,1,30 ABR 2020,$19.99,2,30 APR 2020,2020-04-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2060,Ambrosia,Muy positivas,93,2261,1,0,0,30 ENE 2021,$1.50,2,30 JAN 2021,2021-01-30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2061,GUILTY GEAR XX ACCENT CORE PLUS R,Extremadamente positivas,96,4858,1,0,0,26 MAY 2015,$14.99,1,26 MAY 2015,2015-05-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,Dungeons 4,Muy positivas,88,1561,1,0,0,9 NOV 2023,$49.99,2,9 NOV 2023,2023-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2063,Cult of the Lamb: Heretic Pack,Muy positivas,97,90,1,0,1,24 ABR 2023,$2.99,2,24 APR 2023,2023-04-24,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2064,Call to Arms,Muy positivas,80,15674,1,0,0,30 JUL 2015,$7.99,2,30 JUL 2015,2015-07-30,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
2065,DEAD RISING®,Muy positivas,88,4782,1,0,0,12 SEP 2016,$7.49,2,12 SEP 2016,2016-09-12,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2066,Strange Horticulture,Extremadamente positivas,95,9895,1,0,1,21 ENE 2022,$8.49,1,21 JAN 2022,2022-01-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2067,Kingdoms of Amalur: Re-Reckoning,Mayormente positivas,76,4963,1,0,0,8 SEP 2020,$18.99,3,8 SEP 2020,2020-09-08,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2068,Gloomwood,Extremadamente positivas,95,4990,1,0,0,5 SEP 2022,$10.49,1,5 SEP 2022,2022-09-05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2069,Sid Meier's Civilization V: Brave New World,Muy positivas,94,1199,1,1,1,9 JUL 2013,"",2,9 JUL 2013,2013-07-09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,Age of Empires III: Definitive Edition - Knights of the Mediterranean,Muy positivas,88,304,1,0,0,26 MAY 2022,$4.99,2,26 MAY 2022,2022-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,Town of Salem 2,Mayormente positivas,75,6684,1,0,1,25 AGO 2023,Gratuito,3,25 AUG 2023,2023-08-25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2072,Fork Road,Muy positivas,82,227,1,0,0,11 JUN 2024,$2.49,2,11 JUN 2024,2024-06-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2073,"Northgard - Svardilfari, Clan of the Horse",Muy positivas,89,154,1,1,1,23 ABR 2019,$2.99,2,23 APR 2019,2019-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2074,The Jackbox Party Starter,Muy positivas,93,212,1,1,1,30 JUN 2022,$10.49,2,30 JUN 2022,2022-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2075,Planet Coaster - Vintage Pack,Muy positivas,82,90,1,0,1,10 JUL 2018,$6.29,2,10 JUL 2018,2018-07-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2076,LEGO® MARVEL's Avengers,Muy positivas,88,4733,1,0,0,26 ENE 2016,$19.99,2,26 JAN 2016,2016-01-26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,Planet Zoo: Africa Pack,Muy positivas,90,131,1,0,0,22 JUN 2021,$5.79,2,22 JUN 2021,2021-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2078,Zero Division,Muy positivas,91,168,1,0,0,11 JUL 2024,$5.99,2,11 JUL 2024,2024-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2079,Quest Master,Muy positivas,98,117,1,1,1,29 MAY 2024,$10.49,2,29 MAY 2024,2024-05-29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,Roots of Pacha,Muy positivas,92,2525,1,1,1,25 ABR 2023,$12.49,2,25 APR 2023,2023-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2081,Hellsplit: Arena,Muy positivas,85,3477,1,0,0,9 SEP 2019,$12.49,2,9 SEP 2019,2019-09-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
2082,Men of War: Assault Squad 2,Muy positivas,91,32527,1,0,0,15 MAY 2014,$14.99,2,15 MAY 2014,2014-05-15,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2083,FINAL FANTASY IX,Muy positivas,94,9204,1,0,0,14 ABR 2016,$16.99,2,14 APR 2016,2016-04-14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2084,Call of Duty®: Modern Warfare® II - Paquete Profesional: Ghost Pistolero,Muy positivas,89,103,1,0,0,10 AGO 2023,$19.99,2,10 AUG 2023,2023-08-10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2085,FINAL FANTASY IV,Muy positivas,90,1891,1,0,0,8 SEP 2021,$13.99,2,8 SEP 2021,2021-09-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2086,Ghostrunner,Muy positivas,91,42696,1,0,0,27 OCT 2020,$14.99,2,27 OCT 2020,2020-10-27,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2087,Romancing SaGa 2: Revenge of the Seven,Sin Dato,0,0,1,0,0,24 OCT 2024,$39.99,10,24 OCT 2024,2024-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2088,LoveBeat,Mayormente positivas,75,1532,1,0,0,13 ENE 2016,Gratuito,3,13 JAN 2016,2016-01-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2089,HELLDIVERS™ Dive Harder Edition,Muy positivas,90,22875,1,0,0,7 DIC 2015,$19.99,2,7 DEC 2015,2015-12-07,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,Arma 3 Creator DLC: Reaction Forces,Mayormente positivas,73,306,1,0,1,26 MAR 2024,$5.99,3,26 MAR 2024,2024-03-26,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2091,VTube Studio - Remove Watermark,Muy positivas,91,71,1,0,1,12 MAR 2021,$7.99,2,12 MAR 2021,2021-03-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2092,WORLD OF HORROR,Muy positivas,92,8171,1,0,1,19 OCT 2023,$10.49,2,19 OCT 2023,2023-10-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2093,F1® Manager 2023,Mayormente positivas,79,2042,1,0,0,31 JUL 2023,$25.99,3,31 JUL 2023,2023-07-31,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2094,War Thunder - A-10A Thunderbolt (Early) Pack,Variadas,52,234,1,1,1,24 MAR 2022,$59.99,5,24 MAR 2022,2022-03-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2095,Anonymous Hacker Simulator,Muy positivas,85,349,1,0,0,3 ABR 2024,$10.49,2,3 APR 2024,2024-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2096,Assetto Corsa - Porsche Pack II,Muy positivas,91,124,1,0,0,22 NOV 2016,$2.99,2,22 NOV 2016,2016-11-22,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2097,Orcs Must Die!,Extremadamente positivas,96,6046,1,0,0,11 OCT 2011,$5.79,1,11 OCT 2011,2011-10-11,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
2098,FINAL FANTASY XII THE ZODIAC AGE,Muy positivas,90,6588,1,0,0,1 FEB 2018,$39.99,2,1 FEB 2018,2018-02-01,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2099,House Flipper - Farm DLC,Variadas,58,346,1,0,1,13 ABR 2023,$14.99,5,13 APR 2023,2023-04-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2100,Quilts and Cats of Calico,Muy positivas,95,244,1,0,1,5 MAR 2024,$10.49,2,5 MAR 2024,2024-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,Granny,Muy positivas,92,3255,1,0,0,20 NOV 2018,$4.99,2,20 NOV 2018,2018-11-20,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
2102,Rocksmith+,Extremadamente negativas,11,687,1,0,0,6 JUN 2024,Gratuito,9,6 JUN 2024,2024-06-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2103,SPORE™ Galactic Adventures,Muy positivas,88,6229,1,0,0,26 JUN 2009,$19.99,2,26 JUN 2009,2009-06-26,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2104,Fishing: North Atlantic - Enhanced Edition,Mayormente positivas,77,2182,1,0,0,16 OCT 2020,$11.99,3,16 OCT 2020,2020-10-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2105,Arma 3 Creator DLC: Spearhead 1944,Variadas,59,693,1,0,1,25 JUL 2023,$8.99,5,25 JUL 2023,2023-07-25,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2106,The Dark Pictures Anthology: Little Hope,Mayormente positivas,73,5401,1,0,0,29 OCT 2020,$15.99,3,29 OCT 2020,2020-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2107,最强祖师,Sin Dato,0,0,1,0,0,17 JUL 2024,Gratuito,10,17 JUL 2024,2024-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2108,Assetto Corsa - Red Pack,Muy positivas,93,212,1,0,0,14 JUL 2016,$3.99,2,14 JUL 2016,2016-07-14,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2109,Holdfast: Nations At War,Muy positivas,90,21762,1,0,0,5 MAR 2020,$10.49,2,5 MAR 2020,2020-03-05,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0
2110,Call of Duty®: Black Ops III - Gorod Krovi Zombies Map,Muy positivas,85,128,1,0,1,1 MAY 2018,$7.99,2,1 MAY 2018,2018-05-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,Halo Wars: Definitive Edition,Muy positivas,91,7176,1,0,0,20 ABR 2017,$19.99,2,20 APR 2017,2017-04-20,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2112,Remnant II® - The Awakened King,Variadas,64,736,1,0,0,14 NOV 2023,$5.79,5,14 NOV 2023,2023-11-14,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2113,Victoria 3: Melodies for the Masses Music Pack,Muy positivas,88,163,1,1,1,13 MAR 2023,$2.99,2,13 MAR 2023,2023-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2114,"Warhammer 40,000: Gladius - Adeptus Mechanicus",Muy positivas,91,99,1,1,0,22 NOV 2021,$7.99,2,22 NOV 2021,2021-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,"Los Sims™ 4 ¡Sí, Quiero! Pack de Contenido",Muy negativas,18,105,1,0,0,23 FEB 2022,$19.99,8,23 FEB 2022,2022-02-23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2116,Craftomation 101: Programming & Craft,Muy positivas,84,321,1,1,1,19 FEB 2024,$5.79,2,19 FEB 2024,2024-02-19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
2117,Monster Train,Extremadamente positivas,96,17558,1,0,0,21 MAY 2020,$12.49,1,21 MAY 2020,2020-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2118,Saints Row,Variadas,63,3459,1,0,0,24 AGO 2023,$22.99,5,24 AUG 2023,2023-08-24,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,Spelunky 2,Muy positivas,93,17173,1,0,0,29 SEP 2020,$7.99,2,29 SEP 2020,2020-09-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2120,Injustice: Gods Among Us Ultimate Edition,Muy positivas,86,9202,1,0,0,12 NOV 2013,$19.99,2,12 NOV 2013,2013-11-12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2121,Deceive Inc.,Muy positivas,85,4343,1,0,0,21 MAR 2023,$19.99,2,21 MAR 2023,2023-03-21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2122,Metal: Hellsinger,Extremadamente positivas,96,11901,1,0,0,15 SEP 2022,$14.99,1,15 SEP 2022,2022-09-15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2123,The Dark Pictures Anthology: House of Ashes,Muy positivas,88,5275,1,0,0,21 OCT 2021,Sin Dato,2,21 OCT 2021,2021-10-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
