appid,windows,mac,linux
15370,1,0,0
15380,1,0,0
15390,1,0,0
15400,1,1,1
15500,1,0,0
15520,1,0,0
15560,1,1,1
15620,1,1,1
15700,1,0,0
15710,1,0,0
15740,1,0,0
15750,1,0,0
15800,1,0,0
15900,1,0,0
15910,1,0,0
15920,1,0,0
15930,1,0,0
15960,1,0,0
15970,1,1,0
16000,1,0,0
16020,1,0,0
16030,1,0,0
16040,1,0,0
16060,1,0,0
16100,1,0,0
16110,1,0,0
16120,1,0,0
16130,1,0,0
16180,1,0,0
16200,1,0,0
16450,1,0,0
16500,1,0,0
16600,1,0,0
16620,1,1,0
16710,1,0,0
16720,1,1,0
16730,1,0,0
16810,1,1,0
16900,1,0,0
17080,1,0,0
17100,1,0,0
17120,1,0,0
17140,1,0,0
17180,1,0,0
17300,1,0,0
17330,1,0,0
17390,1,0,0
17410,1,0,0
17430,1,0,0
17440,1,0,0
17450,1,0,0
17460,1,0,0
17470,1,0,0
17480,1,0,0
17500,1,0,1
17570,1,1,1
17710,1,1,1
17740,1,0,1
18000,1,0,0
18020,1,0,0
18040,1,1,0
18050,1,1,0
18070,1,1,0
18120,1,1,0
18300,1,1,1
18400,1,0,0
18420,1,0,0
18470,1,0,0
18480,1,0,0
18500,1,0,0
18600,1,0,0
18700,1,1,1
18820,1,0,0
19000,1,0,0
19020,1,0,0
19030,1,0,0
19080,1,0,0
19200,1,0,0
19320,1,0,0
19500,1,0,0
19800,1,0,0
19830,1,0,0
19900,1,0,0
19980,1,0,0
20200,1,0,0
20510,1,0,0
20530,1,0,0
20540,1,0,0
20550,1,0,0
20570,1,1,1
20700,1,0,0
20710,1,0,0
20820,1,1,1
20900,1,1,0
20920,1,1,1
21000,1,0,0
21010,1,0,0
21030,1,0,0
21090,1,0,0
21100,1,0,0
21130,1,0,0
21300,1,0,0
21400,1,0,0
21500,1,0,0
21640,1,0,0
21660,1,0,0
21670,1,0,0
21680,1,0,0
21690,1,0,0
21780,1,0,0
21800,1,0,0
21980,1,0,0
22000,1,1,1
22100,1,0,0
22120,1,1,1
22130,1,0,0
22180,1,1,1
22200,1,0,0
22230,1,0,0
22300,1,0,0
22310,1,0,0
22320,1,0,0
22330,1,0,0
22350,1,0,0
22370,1,0,0
22380,1,0,0
22450,1,0,0
22500,1,0,0
22600,1,1,1
22610,1,0,0
22650,1,0,0
22670,1,0,0
23150,1,0,0
23300,1,0,0
23380,1,0,0
23400,1,0,0
23420,1,0,0
23450,1,0,0
23460,1,0,0
23490,1,0,0
23500,1,0,0
23530,1,0,0
23600,1,1,1
23700,1,0,0
24010,1,0,0
24200,1,0,0
24240,1,0,0
24400,1,0,0
24410,1,0,0
24420,1,0,1
24460,1,0,0
24480,1,0,0
24640,1,0,0
24650,1,0,0
24670,1,0,0
24720,1,0,0
24740,1,0,0
24780,1,1,0
24790,1,0,0
24800,1,0,0
24810,1,0,0
24840,1,0,0
24870,1,0,0
24960,1,0,0
24980,1,0,0
25000,1,1,1
25010,1,1,1
25500,1,0,0
25600,1,1,1
25620,1,1,1
25700,1,1,0
25800,1,1,0
25830,1,0,0
25850,1,0,0
25890,1,1,0
25900,1,1,0
25910,1,0,0
25930,1,0,0
25980,1,0,0
25990,1,0,0
26000,1,0,0
26300,1,0,0
26800,1,1,1
26900,1,1,0
27000,1,1,0
27020,1,1,1
27050,1,1,0
27200,1,0,0
27330,1,0,0
27400,1,1,0
27600,1,0,0
27800,1,0,0
27810,1,0,0
27900,1,0,0
27920,1,0,0
27940,1,0,0
28000,1,0,0
29120,1,0,0
29130,1,0,0
29160,1,1,1
29180,1,1,1
29800,1,1,0
29900,1,0,0
31270,1,1,0
31300,1,0,0
31800,1,0,0
31810,1,0,0
31820,1,0,0
31830,1,0,0
31840,1,0,0
31850,1,0,0
31860,1,0,0
31870,1,0,0
31880,1,0,0
31890,1,0,0
31900,1,0,0
31910,1,0,0
31920,1,0,0
31930,1,0,0
31980,1,0,0
32000,1,0,0
32110,1,1,0
32120,1,0,0
32140,1,0,0
32150,1,0,0
32160,1,0,0
32200,1,0,0
32310,1,1,0
32330,1,0,0
32340,1,1,0
32350,1,0,0
32360,1,0,0
32370,1,1,0
32380,1,0,0
32390,1,0,0
32400,1,1,0
32410,1,0,0
32420,1,0,0
32430,1,1,0
32440,1,1,0
32450,1,0,0
32460,1,0,0
32470,1,0,0
32500,1,0,0
32510,1,0,0
32610,1,0,0
32620,1,0,0
32630,1,0,0
32640,1,0,0
32650,1,0,0
32660,1,0,0
32670,1,0,0
32680,1,0,0
32710,1,0,0
32720,1,0,0
32730,1,0,0
32740,1,0,0
32750,1,0,0
32760,1,0,0
32770,1,0,0
32900,1,0,0
33100,1,0,0
33110,1,0,0
33120,1,0,0
33130,1,0,0
33180,1,0,0
33230,1,0,0
33320,1,0,0
33390,1,0,0
33460,1,0,0
33520,1,0,0
33570,1,0,0
33600,1,1,1
33610,1,0,0
33620,1,0,0
33650,1,0,0
33660,1,0,0
33670,1,0,0
33680,1,1,1
33760,1,0,0
33770,1,0,0
33790,1,1,0
33900,1,0,0
33930,1,0,0
33950,1,0,0
33980,1,0,0
33990,1,0,0
34010,1,0,0
34030,1,1,0
34190,1,0,0
34410,1,0,0
34420,1,0,0
34500,1,0,0
34600,1,0,0
34630,1,0,0
34640,1,0,0
34800,1,0,0
34810,1,0,0
34820,1,0,0
34830,1,0,0
34870,1,0,0
34900,1,0,0
34920,1,0,0
35000,1,0,0
35070,1,0,0
35130,1,0,0
35140,1,1,0
35300,1,0,0
35310,1,0,0
35320,1,0,0
35450,1,0,0
35460,1,0,0
35480,1,1,1
35600,1,0,0
35700,1,1,1
35720,1,1,1
35800,1,1,0
36000,1,1,0
36100,1,0,0
36130,1,0,0
36180,1,0,0
36210,1,0,0
36240,1,0,0
36300,1,0,0
36310,1,0,0
36320,1,0,0
36900,1,0,0
36910,1,0,0
37000,1,0,0
37010,1,0,0
37030,1,0,0
37100,1,1,0
37210,1,1,0
37220,1,1,0
37230,1,1,0
37240,1,1,0
37260,1,0,0
37270,1,1,0
37280,1,1,0
37300,1,1,0
37310,1,1,0
37320,1,1,0
37330,1,1,0
37340,1,1,0
37370,1,1,0
37380,1,1,0
37390,1,1,0
37400,1,0,0
37500,1,0,0
37600,1,1,0
37700,1,0,0
37800,1,1,0
37960,1,0,0
38000,1,0,0
38070,1,0,0
38080,1,0,0
38090,1,0,0
38100,1,0,0
38110,1,0,0
38120,1,0,0
38130,1,0,0
38140,1,0,0
38150,1,0,0
38160,1,0,0
38170,1,0,0
38180,1,0,0
38190,1,0,0
38210,1,0,0
38230,1,0,0
38400,1,0,0
38410,1,0,0
38420,1,0,0
38430,1,0,0
38450,1,0,0
38460,1,0,0
38490,1,0,0
38600,1,1,0
38700,1,1,1
38720,1,1,1
38740,1,1,1
39000,1,0,0
39110,1,0,0
39120,1,0,0
39140,1,0,0
39150,1,0,0
39190,1,0,0
39200,1,0,0
39210,1,0,0
39500,1,0,0
39510,1,0,0
39520,1,0,0
39540,1,0,0
39560,1,0,0
39630,1,0,0
39640,1,0,0
39650,1,0,0
39660,1,0,0
39670,1,0,0
39680,1,0,0
39690,1,0,0
39800,1,1,1
39900,1,0,0
40100,1,0,0
40200,1,0,0
40210,1,0,0
40300,1,0,0
40320,1,0,0
40330,1,0,0
40340,1,0,0
40350,1,0,0
40380,1,0,0
40390,1,0,0
40400,1,1,1
40420,1,1,1
40500,1,0,0
40700,1,1,0
40720,1,0,0
40930,1,0,0
40950,1,0,0
40970,1,0,0
40980,1,0,0
40990,1,0,0
41000,1,0,0
41070,1,1,1
41100,1,1,1
41300,1,1,1
41400,1,0,0
41500,1,1,0
41600,1,0,0
41660,1,0,0
41680,1,0,0
41700,1,0,0
41740,1,0,0
41800,1,1,1
41900,1,1,1
42000,1,0,0
42120,1,0,0
42140,1,0,0
42170,1,1,0
42210,1,1,0
42220,1,1,0
42230,1,1,0
42500,1,0,0
42670,1,0,0
42700,1,0,0
42810,1,0,0
42850,1,0,0
42890,1,0,0
42910,1,0,0
42920,1,0,0
42930,1,0,0
42940,1,0,0
42950,1,0,0
42960,1,0,0
42980,1,0,0
42990,1,0,0
43000,1,0,0
43100,1,0,0
43190,1,0,0
43500,1,0,0
43600,1,0,0
44100,1,0,0
44350,1,0,0
44360,1,0,0
44600,1,0,0
44680,1,0,0
44690,1,0,0
45000,1,0,0
45100,1,1,1
45300,1,0,0
45400,1,1,0
45410,1,0,0
45420,1,1,0
45450,1,1,1
45700,1,0,0
45710,1,0,0
45720,1,0,0
45730,1,0,0
45740,1,0,0
45750,1,0,0
45760,1,0,0
45770,1,0,0
46000,1,1,0
46200,1,0,0
46250,1,0,0
46260,1,0,0
46270,1,0,0
46280,1,0,0
46290,1,0,0
46340,1,0,0
46350,1,0,0
46360,1,0,0
46370,1,0,0
46380,1,0,0
46400,1,0,0
46410,1,0,0
46440,1,0,0
46450,1,0,0
46480,1,0,0
46490,1,0,0
46500,1,1,0
46510,1,1,0
46520,1,0,0
46540,1,0,0
46550,1,0,0
46570,1,0,0
46600,1,0,0
46700,1,0,0
46710,1,0,0
46720,1,0,0
46730,1,0,0
46740,1,0,0
46750,1,0,0
46760,1,0,0
46770,1,1,1
46790,1,0,0
46830,1,0,0
46840,1,0,0
46850,1,0,0
47110,1,0,0
47120,1,0,0
47130,1,0,0
47400,1,1,1
47410,1,0,0
47700,1,0,0
47730,1,0,0
47780,1,0,0
47790,1,0,0
47800,1,0,0
47810,1,0,0
47870,1,0,0
47890,1,0,0
47920,1,0,0
48000,1,1,1
48110,1,0,0
48150,1,0,0
48190,1,0,0
48240,1,0,0
48700,1,1,1
48720,1,0,0
48800,1,0,0
48950,1,0,0
49000,1,1,0
49300,1,0,0
49320,1,0,0
49470,1,0,0
49520,1,1,1
49600,1,1,1
49800,1,1,0
49810,1,1,0
49900,1,0,0
50000,1,0,0
50130,1,1,0
50300,1,1,1
50510,1,0,0
50910,1,1,0
50920,1,0,0
50930,1,0,0
50940,1,0,0
50960,1,0,0
50970,1,0,0
50980,1,0,0
50990,1,0,0
51000,1,0,0
51010,1,1,0
51020,1,1,0
51030,1,1,0
51060,1,0,0
55000,1,1,1
55040,1,1,1
55100,1,0,0
55110,1,0,0
55140,1,0,0
55150,1,0,0
55230,1,0,1
57000,1,1,0
57200,1,1,0
57300,1,1,1
57620,1,0,0
57640,1,1,1
57650,1,0,0
57680,1,0,0
57690,1,1,0
57700,1,0,0
57740,1,1,1
57800,1,1,0
57900,1,1,0
58200,1,1,0
58230,1,1,0
58400,1,0,0
58520,1,0,0
58550,1,0,0
58560,1,0,0
58570,1,1,0
58610,1,1,1
60340,1,1,0
60350,1,1,0
60600,1,0,0
60700,1,1,0
60800,1,0,0
61100,1,0,0
61310,1,1,0
61500,1,0,0
61510,1,0,0
61520,1,0,0
61600,1,1,1
61700,1,0,0
61730,1,1,0
62000,1,1,0
62100,1,0,0
63000,1,1,1
63110,1,0,0
63200,1,0,0
63500,1,1,0
63610,1,1,0
63650,1,1,0
63660,1,1,0
63700,1,1,0
63710,1,1,0
63800,1,0,0
63900,1,0,0
63910,1,0,0
63940,1,0,0
63960,1,0,0
64000,1,0,0
65070,1,0,0
65080,1,1,0
65270,1,0,0
65400,1,0,0
65500,1,0,0
65530,1,0,0
65540,1,0,0
65560,1,0,0
65600,1,0,0
65610,1,0,0
65710,1,0,0
65730,1,0,0
65740,1,0,0
65780,1,0,0
65790,1,0,0
65800,1,1,1
65930,1,1,0
65980,1,1,1
67000,1,1,1
67370,1,1,0
70000,1,0,0
70100,1,1,1
70110,1,1,1
70120,1,1,1
70200,1,0,0
70210,1,0,0
70300,1,1,1
70400,1,0,0
70420,1,0,0
70500,1,1,0
70600,1,0,0
70620,1,1,0
70640,1,0,0
70650,1,0,0
70660,1,0,0
70900,1,0,0
71000,1,0,0
71230,1,0,0
71240,1,0,0
71260,1,0,0
71340,1,0,0
72000,1,0,1
72400,1,0,0
72850,1,0,0
72900,1,0,0
73010,1,1,1
73060,1,0,0
73170,1,0,0
73190,1,0,0
73210,1,0,0
73220,1,0,0
78000,1,1,0
80000,1,0,0
80200,1,1,0
80300,1,0,0
80310,1,1,1
80330,1,1,1
80340,1,1,1
80350,1,1,1
80360,1,0,0
90200,1,1,0
90400,1,0,0
91100,1,0,0
91200,1,1,1
91330,1,0,0
91600,1,1,0
91700,1,0,0
91800,1,0,0
91810,1,0,0
91900,1,0,0
92000,1,0,0
92100,1,0,0
92200,1,0,0
92210,1,0,0
92220,1,0,0
92300,1,0,0
92400,1,0,0
92600,1,0,0
92700,1,0,0
92800,1,1,1
92900,1,0,0
93200,1,1,1
94000,1,0,0
94200,1,1,0
94300,1,1,0
94400,1,1,0
94590,1,1,0
94620,1,1,0
95000,1,1,1
95300,1,1,1
95400,1,1,1
95700,1,1,0
95900,1,0,0
96000,1,1,1
96100,1,0,0
96200,1,0,1
96800,1,0,0
96900,1,0,0
97000,1,1,1
97100,1,0,0
97110,1,0,0
97120,1,0,0
97130,1,0,0
97330,1,0,0
98100,1,1,0
98200,1,1,1
98300,1,0,0
98400,1,0,0
98500,1,0,0
98600,1,1,0
98800,1,1,1
98900,1,0,0
99100,1,0,0
99120,1,0,0
99300,1,0,0
99400,1,0,0
99410,1,0,0
99700,1,1,1
99900,1,1,0
99910,1,1,0
100980,1,0,0
102200,1,0,0
102400,1,1,0
102500,1,0,0
102600,1,0,0
102810,1,0,0
102840,1,1,1
102850,1,0,0
104000,1,1,0
104020,1,1,0
104100,1,1,0
104200,1,0,0
104900,1,0,0
105000,1,1,0
105100,1,1,0
105300,1,1,0
105420,1,0,0
105450,1,0,0
105600,1,1,1
105700,1,0,0
105800,1,0,0
107100,1,1,1
107200,1,1,1
107300,1,0,0
107310,1,0,0
107410,1,0,0
107600,1,0,0
108110,1,0,0
108200,1,1,1
108210,1,0,0
108500,1,0,0
108600,1,1,1
108700,1,0,0
108710,1,0,0
108800,1,0,0
109200,1,0,0
109500,1,0,0
109600,1,0,0
109700,1,0,0
110400,1,0,0
110500,1,1,0
110600,1,0,0
110610,1,0,0
110630,1,0,0
110800,1,0,0
111000,1,1,1
111010,1,1,1
111100,1,1,1
111400,1,0,0
111600,1,0,0
112100,1,1,1
113020,1,1,1
113200,1,1,0
113400,1,0,0
113420,1,0,0
115100,1,1,1
115110,1,1,1
115120,1,0,0
115200,1,0,0
115210,1,0,0
115220,1,0,0
115320,1,0,0
115800,1,1,1
116100,1,1,0
200010,1,0,0
200020,1,0,0
200080,1,1,0
200130,1,0,0
200150,1,0,0
200170,1,0,0
200190,1,0,0
200210,1,1,0
200230,1,0,0
200260,1,1,0
200370,1,0,0
200390,1,1,1
200410,1,0,0
200490,1,0,0
200510,1,1,1
200550,1,0,0
200670,1,0,0
200710,1,1,1
200900,1,0,1
200960,1,0,0
200980,1,0,0
200990,1,0,0
201000,1,0,0
201010,1,0,0
201070,1,0,0
201210,1,1,0
201230,1,0,0
201290,1,0,0
201420,1,1,1
201480,1,0,0
201490,1,0,0
201510,1,0,0
201570,1,0,0
201790,1,0,0
201810,1,0,0
201870,1,0,0
202130,1,0,0
202200,1,0,0
202310,1,0,0
202370,1,0,0
202410,1,1,0
202670,1,1,0
202690,1,0,0
202710,1,0,0
202730,1,1,1
202750,1,0,0
202860,1,0,0
202970,1,0,0
203140,1,1,0
203160,1,1,1
203210,1,1,1
203290,1,0,0
203350,1,1,0
203510,1,0,0
203560,1,1,1
203630,1,0,0
203650,1,0,0
203680,1,0,0
203750,1,0,0
203770,1,1,1
203830,1,1,0
203990,1,0,1
204030,1,0,0
204060,1,1,1
204100,1,0,0
204120,1,0,0
204180,1,1,1
204220,1,1,1
204240,1,1,1
204300,1,1,1
204340,1,0,0
204360,1,1,0
204390,1,0,0
204440,1,1,0
204530,1,1,0
204560,1,0,0
204580,1,0,0
204630,1,1,1
204760,1,0,0
204860,1,0,0
204880,1,0,0
204940,1,0,0
204960,1,0,0
205020,1,1,0
205060,1,1,0
205070,1,1,0
205080,1,1,0
205090,1,1,0
205100,1,0,0
205190,1,0,0
205230,1,0,0
205270,1,0,0
205530,1,1,0
205550,1,1,0
205610,1,0,0
205650,1,0,0
205690,1,1,0
205710,1,0,0
205730,1,1,1
205810,1,0,0
205830,1,0,0
205840,1,0,0
205870,1,1,0
205910,1,1,1
205950,1,0,0
205990,1,1,1
206020,1,0,0
206040,1,0,0
206060,1,0,0
206190,1,1,1
206210,1,0,0
206230,1,0,0
206250,1,0,0
206370,1,1,1
206410,1,0,0
206420,1,0,1
206440,1,1,1
206480,1,1,0
206500,1,0,0
206610,1,1,0
206690,1,1,1
207000,1,1,0
207020,1,0,0
207080,1,1,0
207140,1,1,1
207170,1,1,1
207190,1,0,0
207230,1,0,0
207250,1,1,1
207320,1,0,0
207350,1,0,0
207370,1,0,0
207380,1,0,0
207400,1,0,0
207420,1,1,1
207430,1,1,0
207490,1,0,0
207530,1,0,0
207570,1,1,1
207650,1,1,1
207670,1,1,0
207690,1,1,0
207710,1,1,0
207730,1,0,0
207750,1,1,1
207790,1,0,0
207930,1,0,0
208110,1,1,0
208140,1,1,0
208200,1,0,0
208400,1,1,0
208460,1,0,0
208500,1,0,0
208520,1,1,0
208580,1,1,1
208600,1,1,0
208620,1,0,0
208630,1,0,0
208640,1,0,0
208650,1,0,0
208670,1,1,0
208710,1,0,0
208730,1,0,0
208750,1,1,1
209000,1,0,0
209060,1,0,1
209080,1,1,1
209100,1,0,0
209120,1,0,0
209160,1,0,0
209190,1,1,1
209230,1,0,0
209330,1,1,1
209360,1,0,0
209370,1,1,1
209390,1,0,0
209520,1,0,0
209540,1,1,1
209610,1,0,0
209630,1,0,0
209650,1,0,0
209670,1,1,0
209690,1,1,0
209730,1,0,0
209750,1,0,0
209790,1,1,1
209830,1,1,0
209850,1,1,0
209950,1,1,0
210170,1,1,1
210230,1,1,0
210770,1,1,1
210870,1,0,0
210950,1,0,0
210970,1,1,0
211010,1,0,0
211160,1,0,0
211180,1,1,1
211260,1,1,1
211280,1,0,0
211340,1,1,1
211360,1,1,0
211400,1,0,0
211440,1,1,1
211500,1,0,0
211580,1,0,0
211600,1,0,0
211740,1,0,0
211780,1,0,0
211800,1,0,0
211820,1,1,1
211900,1,1,1
211970,1,0,0
212010,1,0,0
212030,1,0,0
212050,1,0,0
212070,1,1,1
212110,1,0,0
212160,1,0,0
212390,1,0,0
212500,1,1,0
212630,1,0,0
212680,1,1,1
212700,1,0,0
212780,1,1,0
212800,1,1,1
213030,1,1,0
213330,1,0,0
213350,1,0,0
213390,1,0,0
213610,1,0,0
213650,1,1,0
213670,1,0,0
213850,1,0,0
214100,1,0,0
214130,1,0,0
214150,1,0,0
214170,1,0,0
214250,1,0,0
214340,1,1,1
214360,1,1,0
214420,1,1,1
214490,1,1,1
214550,1,1,1
214570,1,0,0
214590,1,0,0
214610,1,0,0
214630,0,1,0
214700,1,1,0
214730,1,0,0
214770,1,1,1
214790,1,1,0
214830,1,0,0
214870,1,1,1
214910,1,1,0
214950,1,1,0
214970,1,0,1
215080,1,1,1
215160,1,1,1
215280,1,0,0
215390,1,0,0
215470,1,0,0
215510,1,1,1
215530,1,0,0
215550,1,1,0
215630,1,0,0
215670,1,1,0
215690,1,0,0
215710,1,0,0
215770,1,0,0
215790,1,1,0
215830,1,0,0
215870,1,0,0
215930,1,1,1
216090,1,0,0
216110,1,1,0
216130,1,1,0
216150,1,0,0
216210,1,0,0
216260,1,0,0
216290,1,1,1
216670,1,0,0
216890,1,0,0
216910,1,0,0
216930,1,0,0
217120,1,0,0
217140,1,0,0
217200,1,0,0
217270,1,0,0
217290,1,1,1
217690,1,1,1
217750,1,0,0
217790,1,0,0
217920,1,0,0
218020,1,0,0
218040,1,1,0
218060,1,1,1
218090,1,1,1
218230,1,0,0
218410,1,1,1
218510,1,1,0
218620,1,0,1
218640,1,0,0
218660,1,1,1
218680,1,0,0
218700,1,0,0
218740,1,1,0
218820,1,1,1
219070,1,1,0
219150,1,1,1
219190,1,1,1
219200,1,1,1
219340,1,1,0
219640,1,1,1
219680,1,1,1
219700,1,0,0
219760,1,0,0
219780,1,0,0
219830,1,1,1
219890,1,1,1
219910,1,1,1
219950,1,0,0
219990,1,0,0
220090,1,1,1
220160,1,0,0
220200,1,1,1
220240,1,0,0
220260,1,1,0
220420,1,1,0
220440,1,0,0
220460,1,1,1
220660,1,0,0
220700,1,0,0
220740,1,1,1
220780,1,1,0
220820,1,0,0
220860,1,1,0
220900,1,1,1
221020,1,1,0
221040,1,0,0
221100,1,0,0
221180,1,1,1
221260,1,1,1
221380,1,0,0
221540,1,0,0
221640,1,1,1
221680,1,1,0
221810,1,1,1
221830,1,1,1
221910,1,1,1
222140,1,1,1
222180,1,0,0
222420,1,0,0
222440,1,0,0
222480,1,0,0
222500,1,0,0
222520,1,1,1
222640,1,0,0
222730,1,1,1
222750,1,1,1
222880,1,1,1
222940,1,0,0
222980,1,0,0
223000,1,0,0
223100,1,0,0
223220,1,0,0
223280,1,0,0
223330,1,0,0
223410,1,0,0
223430,1,0,0
223450,1,0,0
223470,1,1,1
223490,1,0,0
223510,1,0,0
223710,1,0,0
223730,1,0,0
223750,1,0,0
223810,1,0,0
223830,1,1,1
224000,1,0,0
224040,1,0,0
224260,1,1,1
224300,1,0,0
224460,1,0,0
224480,1,1,1
224500,1,1,1
224600,1,0,0
224700,1,0,0
224740,1,1,0
